esperimento	video	risoluzione	calcolo mm / px	risultato	frames video	video con tracciato rosso	coordinate file .txt	coordinate file .txt 1^ correzione	coordinate file .txt 2^ correzione	peso ragno gr	addome cm	cefalotorace cm	zampa cm	nota	umidità %	temperatura °C	speed mean	speed SD	speed median	total cum distance	smoothed speed mean	smoothed speed SD	smoothed speed median	total cum dist smoothed	acceleration mean	acceleration SD	speed median	smoothed acceleration mean	smoothed acceleration SD	smoothed speed median	number of activity periods
A_002_1_set		1280x720	355/602	0,5897	https://drive.google.com/drive/folders/1T3dv3yDYQqEkOdpMsTBUuIJmNunFkHrj?usp=sharing	https://drive.google.com/file/d/13xVN4Y-xchVBAQASdPc7Cj1HqYZUKPah/view?usp=sharing	https://drive.google.com/file/d/1QhLsJjCH1YR0uibjpLUzoqI1ZZzrHpb4/view?usp=sharing			0,40	1,12	0,40	2,21		55	28,5	2.003510167	7.455617366	0	53609.92506	1.990903941	5.225780635	0	53262.65313	2.312737775	7.639861449	0	2.300141309	5.615514294	0	952
A_002_24_set	https://drive.google.com/file/d/1h0lRCNJzRtxzJEWEBkdHgpfp6oT88Ft-/view?usp=sharing	1920x1080	355/902	0,3935		https://drive.google.com/file/d/10ziFB-IJ4J73uFT2D8LwY8QsUaZMXDu7/view?usp=sharing	https://drive.google.com/file/d/1aHR3hN32X99IZOP-CdbgBMNx3O2ZodAZ/view?usp=sharing			0,34	1,03	0,55	1,81		69	24,7	4.756345192	8.390067739	1.9675	43525.31485	4.758945424	4.957225685	2.744097762	43525.31485	4.889489063	8.208034442	2.119062352	4.892162376	5.051028839	3.187166904	901
A_003_7_set		1280x720	355/627	0,5662		https://drive.google.com/file/d/1yxKca-zj1VCvKAeGK-D0N449CT-pu3mA/view?usp=sharing	https://drive.google.com/file/d/1y5yo4HvvTbb5DC6kaZD5wi9RPCBYxHX3/view?usp=sharing	https://drive.google.com/file/d/1mC9bnH43l9px522PuhZS0u3ZDJSBHGrz/view?usp=sharing		0,59	1,48	0,48	2,43	manca prima zampa ant dx	60	26,5	6.647313541	9.667248419	4.003638595	38049.22271	38002.77994	6.045076049	5.26443361	38002.77994	6.944280286	8.891720143	4.564850337	6.941250532	5.661111407	6.067658314	762
A_003_30_set		1280x720	355/630,1	0,5634		https://drive.google.com/file/d/1ALJHiMAPkku-vvxYRg_6fhYHspIqr0J9/view?usp=sharing	https://drive.google.com/file/d/1HklUXHgIwFMm5eMEunDoeNuUIkMM5fuI/view?usp=sharing	https://drive.google.com/file/d/1pQ3YooPdhi7M3xCV48u74hsWsV1PzmTk/view?usp=sharing		0,40	1,03	0,50	2,45	manca prima zampa ant dx	63	26,9	4.797293011	9.456057495	1.259800699	39265.84329	4.798425315	6.075125044	3.487425417	39251.11908	4.936572095	9.542859824	2.031367589	4.93706055	5.994551847	4.046601176	785
A_006_8_set	https://drive.google.com/drive/folders/1AsdOI12SBEdmkA_0PtbtTSS1Ofi2q7et?usp=sharing	1280x720	355/627	0,5662		https://drive.google.com/file/d/1QzRv-xNS9pIxIszB5uicuVcweBLfTDbK/view?usp=sharing	https://drive.google.com/file/d/1ip7ysGUab719u9QoTHSuVbSC3MLXJRZu/view?usp=sharing	https://drive.google.com/file/d/1y81-CoSGFUJLvszy7N4OZciC_xDHouEC/view?usp=sharing	https://drive.google.com/file/d/1i6VjpjltvlXkszR1cnxo8SE5P5QLaXjD/view?usp=sharing	0,06	0,57	0,37	2,06		62	25,4	7.928394128	12.71969888	4.082926264	29358.84345	7.939113968	8.594205057	5.602488482	29358.84345	7.989237359	12.78073644	4.804366314	8.000042386	8.384824213	6.404890381	537
A_006_29_set	https://drive.google.com/file/d/1Fx1RL3qchusvqDL0xIpySvV-YQnmyjNJ/view?usp=sharing	1920x1080	355/950	0,3737		https://drive.google.com/file/d/1PXEToDIwuxeEnvRB53-BXnnUYSPMpTsp/view?usp=sharing	https://drive.google.com/file/d/1VNWMKJ5_hd_8ozFuP7Vg1kSetx8tmYPu/view?usp=sharing			0,20	0,90	0,48	2,00		65	25,5	6.601074073	10.43593747	3.680518161	24331.55903	6.624128953	6.028271594	4.491176002	24383.41868	6.816075613	11.38779606	4.1107	6.839394122	6.791760885	4.918599421	534
A_007_1_ott		1280x720	355/616	0,5763		https://drive.google.com/file/d/1fpxD-RpiyIa4wfDf96c3SAYGGiJwJOgU/view?usp=sharing	https://drive.google.com/file/d/19wuMIsrBzy_WvqUSn_qIfuq2KizVcgRS/view?usp=sharing	https://drive.google.com/file/d/1NM418qUde8eMmP5YkoNI1cXXaLBkW7NM/view?usp=sharing		0,53	1,29	0,58	2,78		62	26,4	8.224807656	12.43401417	4.64627914	57302.23494	8.230714585	7.542745235	5.603196521	57302.23494	9.066323374	12.78035736	5.79174332	9.072835602	7.922847087	6.8816051	1063
A_007_2_set		1280x720	355/600	0,5917		https://drive.google.com/file/d/103ebB6uZ8DKkqjw9_z7ihhbt5IoZQdF_/view?usp=sharing	https://drive.google.com/file/d/1BZ7cZy5R5pgjprsE906jlavOzByBheRs/view?usp=sharing			0,48	1,10	0,61	2,72		60	28,0	11.76120012	15.17297307	7.318924796	43798.70926	11.78548701	8.519478799	8.772906235	43830.22618	13.37569162	14.65747455	9.540875819	13.40173141	8.450396459	11.49842519	594
A_011_5_set		1280x720	355/633	0,5608		https://drive.google.com/file/d/1Oq4dBpOvkQ8n26lol27adCXzyW3kxtnE/view?usp=sharing	https://drive.google.com/file/d/1IPGug-qieZY5eOVlq66l73l1cJKJsHSv/view?usp=sharing	https://drive.google.com/file/d/1JuyWWS8FE4OwHTmqhDxIXofbLnGueT5Y/view?usp=sharing		0,78	1,51	0,63	2,41		59	26,4	5.415770806	11.01093849	1.586181932	23629.00802	5.399129118	6.883042042	3.468913606	23529.4047	6.180264334	11.85160155	2.312237635	6.168945848	7.734939662	4.130568534	472
A_011_2_ott		1280x720	355/617,1	0,5753		https://drive.google.com/file/d/1Wz6HpNcPmOYTARd_nItr9sJ6C5P2nucI/view?usp=sharing	https://drive.google.com/file/d/1eE0Xw5BiJ3a-2jaIUWHz5Kb-c3jj4M37/view?usp=sharing	https://drive.google.com/file/d/1TQGvZujleSNMEcRG8bEhNMuh6bM4gLEH/view?usp=sharing		0,49	1,22	0,47	2,30		62	26,2	9.236816299	12.66977284	5.457775014	44752.37497	9.239968279	7.790709604	6.234652437	44721.44647	9.879460507	12.17507919	6.222820946	9.87884157	7.769756248	7.268531131	819
